transaction_id,customer_id,amount,transaction_type,location,is_fraud
1,1051,1336,debit,Mumbai,0
2,1092,236,credit,Chennai,0
3,1014,1129,credit,Bangalore,0
4,1071,2256,debit,Bangalore,0
5,1060,2694,credit,Mumbai,0
6,1020,761,debit,Hyderabad,0
7,1082,2572,debit,Mumbai,1
8,1086,2777,credit,Hyderabad,0
9,1074,2408,credit,Mumbai,1
10,1074,186,debit,Bangalore,0
11,1087,2612,credit,Mumbai,0
12,1099,3042,credit,Chennai,0
13,1023,2873,debit,Chennai,0
14,1002,2604,debit,Mumbai,0
15,1021,3410,debit,Hyderabad,0
16,1052,1800,debit,Hyderabad,0
17,1001,3770,debit,Bangalore,0
18,1087,2800,debit,Bangalore,0
19,1029,3729,credit,Hyderabad,0
20,1037,4690,debit,Mumbai,0
21,1001,1747,credit,Bangalore,0
22,1063,3418,credit,Hyderabad,0
23,1059,3787,debit,Hyderabad,0
24,1020,696,credit,Mumbai,0
25,1032,4645,debit,Chennai,0
26,1075,584,credit,Hyderabad,0
27,1057,745,debit,Bangalore,0
28,1021,3189,debit,Mumbai,0
29,1088,4857,debit,Mumbai,0
30,1048,4953,debit,Mumbai,0
31,1090,4484,credit,Chennai,0
32,1058,820,credit,Chennai,0
33,1041,4833,credit,Bangalore,0
34,1091,598,credit,Bangalore,0
35,1059,4829,credit,Mumbai,0
36,1079,1773,debit,Bangalore,0
37,1014,3167,debit,Hyderabad,0
38,1061,214,debit,Chennai,0
39,1061,3079,debit,Mumbai,0
40,1046,4869,debit,Mumbai,0
41,1061,1836,credit,Hyderabad,0
42,1050,3711,debit,Hyderabad,0
43,1054,2353,debit,Hyderabad,0
44,1063,2394,credit,Hyderabad,0
45,1002,3730,credit,Mumbai,0
46,1050,246,debit,Chennai,0
47,1006,4082,debit,Chennai,0
48,1020,3553,credit,Hyderabad,0
49,1072,4607,debit,Bangalore,0
50,1038,2510,debit,Mumbai,0
51,1017,236,debit,Chennai,0
52,1003,3460,credit,Hyderabad,0
53,1088,3105,debit,Bangalore,0
54,1059,3652,debit,Bangalore,0
55,1013,118,credit,Hyderabad,0
56,1008,2342,credit,Mumbai,0
57,1089,548,credit,Chennai,0
58,1052,2048,debit,Bangalore,0
59,1001,1045,credit,Chennai,0
60,1083,4336,debit,Chennai,0
61,1091,2020,credit,Bangalore,0
62,1059,3077,debit,Hyderabad,0
63,1070,4288,credit,Bangalore,0
64,1043,4115,debit,Bangalore,1
65,1007,338,debit,Mumbai,0
66,1046,304,credit,Chennai,0
67,1034,2707,credit,Hyderabad,0
68,1077,4440,debit,Chennai,0
69,1080,3488,credit,Bangalore,0
70,1035,3072,debit,Hyderabad,0
71,1049,4490,credit,Hyderabad,0
72,1003,2787,credit,Hyderabad,0
73,1001,4266,debit,Hyderabad,0
74,1005,1448,credit,Mumbai,0
75,1053,4500,credit,Hyderabad,0
76,1003,916,debit,Bangalore,0
77,1053,920,debit,Mumbai,0
78,1092,292,credit,Bangalore,0
79,1062,1876,debit,Bangalore,0
80,1017,3745,credit,Chennai,1
81,1089,4724,credit,Hyderabad,0
82,1043,350,debit,Hyderabad,0
83,1033,1888,debit,Bangalore,0
84,1073,3800,debit,Hyderabad,1
85,1061,2563,debit,Mumbai,1
86,1099,1267,debit,Chennai,0
87,1013,3993,debit,Hyderabad,0
88,1094,1196,credit,Hyderabad,0
89,1047,2779,credit,Mumbai,1
90,1014,1947,debit,Chennai,0
91,1071,4004,credit,Mumbai,0
92,1077,604,credit,Bangalore,0
93,1086,1721,credit,Bangalore,0
94,1061,2572,credit,Hyderabad,0
95,1039,2646,debit,Chennai,0
